ID,escaneado,fonte,Ano,Decada,Condenação,Multa,TC,Relevante,Limítrofe,Motivo,
IA-2005-09,Não,ESJ,2005,2000,Sim,Sim,,Não,Não,4,
RJ-2013-07589,Não,ESJ,2013,2010,Não,Não,,Não,Não,5,
19957-007012-2016-60,Não,PCTC,2016,2010,,,Sim,Não,Não,3,
RJ-2002-06413,Não,ESJ,2002,2000,Sim,Não,,Não,Não,3,
RJ-2003-05596,Não,ESJ,2003,2000,Sim,Não,,Não,Não,3,
IA-2013-01,Não,ESJ,2013,2010,Sim,Não,,Sim,Sim,7,
SP-2004-00193,Não,ESJ,2004,2000,Sim,Sim,,Não,Não,4,
SP-2010-00001,Não,ESJ,2010,2010,Sim,Sim,,Não,Não,7,
IA-1999-30,Não,ESJ,1999,1990,Sim,Sim,,Sim,Sim,7,Empresa de capital fechado
RJ-2012-07880,Não,ESJ,2012,2010,Sim,Sim,,Sim,Não,4,
19957-008074-2016-99,Não,PCTC,2016,2010,,,Sim,Sim,Não,"2, 8",
19957-008667-2020-31,Não,PCTC,2020,2020,,,Sim,Sim,Não,1,
SP-2012-00402,Não,ESJ,2012,2010,Sim,Sim,,Não,Não,7,
RJ-2009-02718,Não,PCTC,2009,2000,,,Sim,Não,Não,1,
RJ-2010-09078,Não,ESJ,2010,2010,Não,Não,,Sim,Não,"2, 9",
RJ-2005-05508,Não,ESJ,2005,2000,Sim,Sim,,Não,Sim,7,"Infração administrativa, mas que não afetou minoritários"
19957-002404-2017-13,Não,ESJ,2017,2010,Não,Não,,Não,Não,"2, 8",
IA-2001-16,Não,PCTC,2001,2000,Não,Não,,Não,Não,9,
RJ-2012-07867,Não,PCTC,2012,2010,,,Sim,Não,Sim,1,"Não divulgação de fato relevante que prejudica as decisões de investimento do minoritário, mas a condenada é a controladora  (que é PJ)."
RJ-2007-04685,Não,ESJ,2007,2000,Sim,Não,,Não,Não,8,
19957-006688-2016-36,Não,ESJ,2016,2010,Sim,Sim,,Não,Não,3,
RJ-2011-03665,Não,ESJ,2011,2010,Sim,Sim,,Sim,Não,"3, 4",
19957-009190-2018-97,Não,PCTC,2018,2010,Sim,Sim,,Sim,Sim,4,Membro do conselho de administração comprou ações da companhia e lucrou 88 reais
RJ-2006-01621,Não,ESJ,2006,2000,Sim,Sim,,Não,Sim,10,
19957-006137-2020-59,Não,PCTC,2020,2020,,,Sim,Sim,Sim,1,"Não divulgação de fato relevante em meio a oscilação atípica de ações da empresa, mas sem vantagens pecuniárias."
RJ-2009-04747,Não,PCTC,2009,2000,,,Sim,Sim,Sim,1,"Não divulgação de fato relevante em meio a oscilação atípica de ações da empresa, mas sem vantagens pecuniárias."
19957-005414-2020-14,Não,PCTC,2020,2020,,,Sim,Sim,Sim,1,"Não divulgação de fato relevante em meio a oscilação atípica de ações da empresa, mas sem vantagens pecuniárias."
19957-009371-2019-02,Não,ESJ,2019,2010,Sim,Sim,,Sim,Não,5,
IA-2004-03,Não,ESJ,2004,2000,Sim,Não,,Sim,Não,"2, 10",
RJ-2005-05222,Não,ESJ,2005,2000,Sim,Sim,,Não,Não,10,
19957-009292-2017-21,Não,PCTC,2017,2010,,,Sim,Sim,Sim,1,"Nenhum dos membros foi beneficiado pelos cometários no balanço, mas os acionistas perderam dinheiro pois foram levados a superestimar o lucro da empresa."
RJ-2001-06226,Não,ESJ,2001,2000,Sim,Não,,Não,Não,9,
RJ-2006-08205,Não,PCTC,2006,2000,,,Sim,Não,Não,2,
SP-2005-00339,Não,PCTC,2005,2000,,,Sim,Não,Não,7,
SP-2003-00314,Não,ESJ,2003,2000,Sim,Sim,,Não,Não,"2, 11",
RJ-2011-11073,Não,ESJ,2011,2010,Sim,Sim,,Sim,Não,"5, 7, 10",
19957-001483-2018-26,Não,PCTC,2018,2010,,,Sim,Não,Não,"2, 3",
RJ-2013-02270,Não,PCTC,2013,2010,,,Sim,Sim,Não,4,
